
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $+15.82 | Status: N/A | Time: May/11/16(10:23.23 AM)
[Share Update] | Share: SCTY | Price: $19.49 | Profit: $+17.49 | Status: N/A | Time: May/11/16(10:23.25 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $+16.56 | Status: UP | Time: May/11/16(10:23.26 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $+16.56 | Status: UP | Time: May/11/16(10:23.26 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $+15.82 | Status: UP | Time: May/11/16(10:23.26 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $+16.56 | Status: DOWN | Time: May/11/16(10:23.27 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $+15.82 | Status: DOWN | Time: May/11/16(10:23.27 AM)
[Share Update] | Share: SCTY | Price: $19.49 | Profit: $+0.02 | Status: N/A | Time: May/11/16(10:24.43 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: N/A | Time: May/11/16(10:24.43 AM)
[Share Update] | Share: SCTY | Price: $19.52 | Profit: $+0.05 | Status: N/A | Time: May/11/16(10:24.44 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.45 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.47 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.47 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.48 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.48 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.48 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.49 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.50 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.51 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.51 AM)
[Share Update] | Share: SCTY | Price: $19.54 | Profit: $+0.07 | Status: UP | Time: May/11/16(10:24.52 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.52 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.54 AM)
[Share Update] | Share: SCTY | Price: $19.54 | Profit: $+0.07 | Status: UP | Time: May/11/16(10:24.54 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.55 AM)
[Share Update] | Share: SCTY | Price: $19.53 | Profit: $+0.06 | Status: UP | Time: May/11/16(10:24.55 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.56 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.57 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:24.58 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:24.59 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.00 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.01 AM)
[Share Update] | Share: SCTY | Price: $19.54 | Profit: $+0.07 | Status: UP | Time: May/11/16(10:25.02 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.02 AM)
[Share Update] | Share: SCTY | Price: $19.54 | Profit: $+0.07 | Status: UP | Time: May/11/16(10:25.03 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.03 AM)
[Share Update] | Share: SCTY | Price: $19.51 | Profit: $+0.04 | Status: UP | Time: May/11/16(10:25.04 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.05 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.05 AM)
[Share Update] | Share: SCTY | Price: $19.51 | Profit: $+0.04 | Status: UP | Time: May/11/16(10:25.06 AM)
[Share Update] | Share: SCTY | Price: $19.53 | Profit: $+0.06 | Status: UP | Time: May/11/16(10:25.07 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.08 AM)
[Share Update] | Share: SCTY | Price: $19.5 | Profit: $+0.03 | Status: UP | Time: May/11/16(10:25.09 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.10 AM)
[Share Update] | Share: SCTY | Price: $19.5 | Profit: $+0.03 | Status: UP | Time: May/11/16(10:25.10 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.11 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.12 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.13 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.14 AM)
[Share Update] | Share: SCTY | Price: $19.53 | Profit: $+0.06 | Status: UP | Time: May/11/16(10:25.14 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.15 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.15 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.16 AM)
[Share Update] | Share: SCTY | Price: $19.53 | Profit: $+0.06 | Status: UP | Time: May/11/16(10:25.16 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.16 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.18 AM)
[Share Update] | Share: SCTY | Price: $19.52 | Profit: $+0.05 | Status: UP | Time: May/11/16(10:25.19 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.19 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.20 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.21 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.21 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.22 AM)
[Share Update] | Share: SCTY | Price: $19.5 | Profit: $+0.03 | Status: UP | Time: May/11/16(10:25.25 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.25 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.26 AM)
[Share Update] | Share: SCTY | Price: $19.5 | Profit: $+0.03 | Status: UP | Time: May/11/16(10:25.27 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.28 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.28 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.29 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.30 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.31 AM)
[Share Update] | Share: SCTY | Price: $19.5 | Profit: $+0.03 | Status: UP | Time: May/11/16(10:25.32 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.33 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.33 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.35 AM)
[Share Update] | Share: SCTY | Price: $19.54 | Profit: $+0.07 | Status: UP | Time: May/11/16(10:25.35 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.36 AM)
[Share Update] | Share: SCTY | Price: $19.54 | Profit: $+0.07 | Status: UP | Time: May/11/16(10:25.36 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.37 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.38 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.38 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.39 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-1.65 | Status: UP | Time: May/11/16(10:25.39 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-0.91 | Status: UP | Time: May/11/16(10:25.42 AM)
[Share Update] | Share: SCTY | Price: $19.53 | Profit: $+0.06 | Status: UP | Time: May/11/16(10:25.42 AM)
[Share Update] | Share: TSLA | Price: $208.69 | Profit: $+189.22 | Status: N/A | Time: May/11/16(10:26.54 AM)
[Share Update] | Share: TSLA | Price: $211.0 | Profit: $+191.53 | Status: N/A | Time: May/11/16(10:26.54 AM)
[Share Update] | Share: TSLA | Price: $208.69 | Profit: $+189.22 | Status: UP | Time: May/11/16(10:26.55 AM)
[Share Update] | Share: TSLA | Price: $210.68 | Profit: $+191.21 | Status: UP | Time: May/11/16(10:26.55 AM)
[Share Update] | Share: TSLA | Price: $208.69 | Profit: $+189.22 | Status: UP | Time: May/11/16(10:26.55 AM)
[Share Update] | Share: TSLA | Price: $208.69 | Profit: $+189.22 | Status: DOWN | Time: May/11/16(10:26.55 AM)
[Share Update] | Share: TSLA | Price: $210.76 | Profit: $+191.29 | Status: DOWN | Time: May/11/16(10:26.57 AM)
[Share Update] | Share: TSLA | Price: $208.69 | Profit: $+189.22 | Status: DOWN | Time: May/11/16(10:26.58 AM)
[Share Update] | Share: FB | Price: $120.5099 | Profit: $+101.04 | Status: N/A | Time: May/11/16(10:29.42 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: N/A | Time: May/11/16(10:29.42 AM)
[Share Update] | Share: FB | Price: $119.92 | Profit: $+100.45 | Status: N/A | Time: May/11/16(10:29.44 AM)
[Share Update] | Share: FB | Price: $120.5099 | Profit: $+101.04 | Status: DOWN | Time: May/11/16(10:29.45 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: UP | Time: May/11/16(10:29.45 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: DOWN | Time: May/11/16(10:29.46 AM)
